// <skill_id>,<skill_name>
1,防御
2,铁壁
3,不动
11,探索
12,察知危险
16,飞行
17,转移
18,飞行转移
19,飞行潛水
20,飞行耐电
21,土流
22,潜水
23,耐热
24,耐电
25,四属性耐性
26,薄冰
40,前进不可
41,被吸收的力量
42,未修炼
43,胆小公主
44,统治的心得
45,飞行无双
46,锻梁师
47,操灵师
48,精灵师
49,忍者的心得
50,努力家
51,挖掘
52,开锁
53,盗賊
54,结界术
56,再行动
57,二回行动
61,ＨＰ再生
62,ＳＰ再生
63,ＦＳ再生
64,超再生
66,地之守护者
67,水之守护者
68,火之守护者
69,风之守护者
70,光之守护者
71,暗之守护者
72,魔神特性
76,毒无效
77,迎击无效
78,间接无效
79,即死无效
80,吸收无效
81,魅惑无效
82,混乱无效
83,麻痹无效
84,强酸无效
85,恐怖无效
86,发动スキル无效
91,战斗指挥
92,封印
93,魅惑的神气
94,征炎
99,回收宝藏
101,人类杀
102,魔物杀
103,精灵杀
104,天使杀
105,恶魔杀
106,幻兽杀
107,创造破坏
108,大物杀
109,死灵破坏
111,对空迎击Ⅰ
112,对空迎击Ⅱ
113,对空迎击Ⅲ
116,对潛迎击Ⅰ
117,对潛迎击Ⅱ
118,对潛迎击Ⅲ
121,先制攻击Ⅰ
122,先制攻击Ⅱ
123,先制攻击Ⅲ
126,看透Ⅰ
127,看透Ⅱ
128,看透Ⅲ
131,白刃流Ⅰ
132,白刃流Ⅱ
133,白刃流Ⅲ
136,反击Ⅰ
137,反击Ⅱ
138,反击Ⅲ
141,即死反击Ⅰ
142,即死反击Ⅱ
143,即死反击Ⅲ
146,决死Ⅰ
147,决死Ⅱ
148,决死Ⅲ
151,凶暴化Ⅰ
152,凶暴化Ⅱ
153,凶暴化Ⅲ
156,隐密Ⅰ
157,隐密Ⅱ
158,隐密Ⅲ
161,反射Ⅰ
162,反射Ⅱ
163,反射Ⅲ
166,吸收Ⅰ
167,吸收Ⅱ
168,吸收Ⅲ
171,威压Ⅰ
172,威压Ⅱ
173,威压Ⅲ
176,贯通Ⅰ
177,贯通Ⅱ
178,贯通Ⅲ
181,连击Ⅰ
182,连击Ⅱ
183,连击Ⅲ
186,魔术结界Ⅰ
187,魔术结界Ⅱ
188,魔术结界Ⅲ
191,防护结界Ⅰ
192,防护结界Ⅱ
193,防护结界Ⅲ
196,灵魂结界Ⅰ
197,灵魂结界Ⅱ
198,灵魂结界Ⅲ
201,盾Ⅰ
202,盾Ⅱ
203,盾Ⅲ
206,大盾Ⅰ
207,大盾Ⅱ
208,大盾Ⅲ
211,冰盾Ⅰ
212,冰盾Ⅱ
213,冰盾Ⅲ
216,复活Ⅰ
217,复活Ⅱ
218,复活Ⅲ
219,死而不僵
221,精神统ーⅠ
222,精神统ーⅡ
223,精神统一Ⅲ
226,心眼Ⅰ
227,心眼Ⅱ
228,心眼Ⅲ
231,烹调Ⅰ
232,烹调Ⅱ
233,烹调Ⅲ
241,留情
242,间接轻减
251,援护防御Ⅰ
252,援护防御Ⅱ
253,援护防御皿
254,替换
255,救助的女仆
256,女神援护
261,替身雪人Ⅰ
262,替身雪人Ⅱ
263,替身雪人皿
266,反击封咒
291,極限集中
301,刃剑舞
302,刚刃剑舞
303,天破刃剑舞
304,砍骨切
305,互流切
306,刚闪互流砍
307,土巨兵的刚拳
308,土巨兵的岩石拳
309,土巨兵的进击拳
310,吊桶打击
