// <item_id>,<show_order>,<rarity>,<skill_A>,<skill_A_Lv_Bonus>,<skill_B>,<skill_B_Lv_Bonus>,<skill_C>,<skill_C_Lv_Bonus>,<HP_exp>,<Atk_exp>,<Def_exp>,<Matk_exp>,<Mdef_exp>,<Hit_exp>,<Flee_exp>,<Efficacy>,<Count>,<HP_Bonus>,<Atk_Bonus>,<Def_Bonus>,<Matk_Bonus>,<Mdef_Bonus>,<Hit_Bonus>,<Flee_Bonus>,<name>
// <物品ID>,<显示顺序>,<稀有度>,<技能A>,<技能A_Lv加成>,<技能B>,<技能B_Lv加成>,<技能C>,<技能C_Lv加成>,<封缄_HP>,<封缄_Atk>,<封缄_Def>,<封缄_Matk>,<封缄_Mdef>,<封缄_Hit>,<封缄_Flee>,<封缄_效果>,<封缄_回数>,<波动_HP>,<波动_Atk>,<波动_Def>,<波动_Matk>,<波动_Mdef>,<波动_Hit>,<波动_Flee>,<名称>
2001,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,暗者之衣
2002,2,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,斗士衣
2003,3,R,426,3,426,2,426,1,0,0,300,0,600,0,500,0,0,0,0,0,0,0,0,0,魔法师斗衣
2004,4,SR,185,4,185,3,185,2,0,0,500,0,800,0,2000,0,0,0,0,0,0,0,0,0,霸者斗衣
2005,5,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,火精灵之衣
2006,6,C,0,0,408,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,祝福之衣
2007,7,R,0,0,0,0,0,0,2000,0,1000,0,600,0,0,0,0,0,0,2,0,2,0,0,地龙斗衣
2008,8,UC,0,0,430,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,睡魔之衣
2009,9,C,0,0,181,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,冰镜之衣
2010,10,C,0,0,185,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,风精灵之衣
2011,11,UC,0,0,208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,5,斗技王之衣
2012,12,SR,186,9,186,7,186,5,2000,0,800,0,1600,0,1000,0,0,0,0,4,0,4,0,10,EU女仆服
2013,13,UR,185,9,185,7,185,5,1000,0,4700,0,4000,0,3000,0,0,0,0,0,0,0,0,0,魔王的斗衣
