// <item_id>,<show_order>,<rarity>,<skill_A>,<skill_A_Lv_Bonus>,<skill_B>,<skill_B_Lv_Bonus>,<skill_C>,<skill_C_Lv_Bonus>,<HP_exp>,<Atk_exp>,<Def_exp>,<Matk_exp>,<Mdef_exp>,<Hit_exp>,<Flee_exp>,<Efficacy>,<Count>,<HP_Bonus>,<Atk_Bonus>,<Def_Bonus>,<Matk_Bonus>,<Mdef_Bonus>,<Hit_Bonus>,<Flee_Bonus>,<name>
// <物品ID>,<显示顺序>,<稀有度>,<技能A>,<技能A_Lv加成>,<技能B>,<技能B_Lv加成>,<技能C>,<技能C_Lv加成>,<封缄_HP>,<封缄_Atk>,<封缄_Def>,<封缄_Matk>,<封缄_Mdef>,<封缄_Hit>,<封缄_Flee>,<封缄_效果>,<封缄_回数>,<波动_HP>,<波动_Atk>,<波动_Def>,<波动_Matk>,<波动_Mdef>,<波动_Hit>,<波动_Flee>,<名称>
101,1,R,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,900,0,0,0,0,0,0,0,治愈之封瓶
102,2,UR,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,900,0,0,0,0,0,0,0,伊利恩的封瓶
103,4,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,女神的封瓶
104,5,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,0,0,0,0,0,0,0,升力香炉
105,6,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,0,0,0,0,0,0,0,升壁香炉
106,7,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,0,0,0,0,0,0,0,升魔香炉
107,8,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,0,0,0,0,0,0,0,升域香炉
108,9,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,静域天幕
109,3,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,500,0,0,0,0,0,0,0,斗技之翼

151,11,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,治愈之水
152,12,UR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,伊利恩的气息
153,14,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,女神之滴
154,15,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,升力的灵药
155,16,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,升壁的灵药
156,17,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,升魔的灵药
157,18,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,升域的灵药
158,13,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,斗技之羽
159,19,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,天幕

201,20,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,地脉符咒
202,21,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,扭曲符咒
203,22,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,重地壳花牌

206,23,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,水流符咒
207,24,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,湖符咒
208,25,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,海啸符咒

211,26,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,冷气符咒
212,27,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,冰块符咒
213,28,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,冰之少女花牌

216,29,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,火焰符咒
217,30,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,轰焰符咒
218,31,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,红莲符咒

221,32,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,落雷符咒
222,33,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,放电符咒
223,34,SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,轰雷符咒

226,35,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,风符咒
227,36,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,旋风符咒
