// <item_id>,<show_order>,<rarity>,<skill_A>,<skill_A_Lv_Bonus>,<skill_B>,<skill_B_Lv_Bonus>,<skill_C>,<skill_C_Lv_Bonus>,<HP_exp>,<Atk_exp>,<Def_exp>,<Matk_exp>,<Mdef_exp>,<Hit_exp>,<Flee_exp>,<Efficacy>,<Count>,<HP_Bonus>,<Atk_Bonus>,<Def_Bonus>,<Matk_Bonus>,<Mdef_Bonus>,<Hit_Bonus>,<Flee_Bonus>,<name>
// <物品ID>,<显示顺序>,<稀有度>,<技能A>,<技能A_Lv加成>,<技能B>,<技能B_Lv加成>,<技能C>,<技能C_Lv加成>,<封缄_HP>,<封缄_Atk>,<封缄_Def>,<封缄_Matk>,<封缄_Mdef>,<封缄_Hit>,<封缄_Flee>,<封缄_效果>,<封缄_回数>,<波动_HP>,<波动_Atk>,<波动_Def>,<波动_Matk>,<波动_Mdef>,<波动_Hit>,<波动_Flee>,<名称>
3001,1,C,0,0,503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,铁盾
3002,2,R,503,2,503,1,503,1,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,4,龙鳞封盾
3003,3,R,503,5,503,3,503,1,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,5,勇气封盾
3004,4,SR,503,3,503,2,503,1,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,霸者封盾
3005,5,UR,502,5,502,3,502,1,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,5,反射镜
3006,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织盾
3007,7,UR,503,9,503,7,503,5,0,0,500,0,500,0,2000,0,0,0,0,0,0,0,0,0,英杰的盾

3099,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的盾牌

3101,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,历战之戒
3102,10,R,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,历战指环
3103,11,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,军神之戒
3104,12,SR,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,军神指环
3105,13,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,英雄之戒
3106,14,UR,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,英雄指环

3111,15,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,城堡之戒
3112,16,R,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,城堡指环
3113,17,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,城墙之戒
3114,18,SR,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,城墙指环
3115,19,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,大将军之戒
3116,20,UR,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,0,大将军指环
3117,21,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织之戒

3121,22,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,斯诺拉
3122,23,UR,0,0,0,0,0,0,0,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,英杰的戒指

3131,24,SR,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,封葬戒指

3199,25,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的戒指

3201,26,UC,0,0,421,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,属性连锁手镯
3202,27,R,422,3,422,2,422,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,5,0,击飞之手环
3203,28,SR,423,3,423,2,423,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,5,0,连击之手环
3204,29,R,424,3,424,2,424,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,5,0,拉近之手环
3205,30,SR,425,3,425,2,425,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,5,0,贯穿之手环
3206,31,UC,0,0,426,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,技巧之镯
3207,32,C,0,0,430,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,魅惑之镯
3208,33,R,435,3,435,2,435,1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,5,0,隐秘之手环
3209,34,C,0,0,504,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,气息感知之镯
3210,35,UC,0,0,506,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,看穿之镯
3211,36,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织之镯
3212,37,UR,218,9,218,7,218,5,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,杰达鲁人偶

3299,38,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的手镯

3301,39,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,塔之项圈
3302,40,R,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,塔之颈环
3303,41,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,天之项圈
3304,42,SR,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,天之颈环
3305,43,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,圣贤者项圈
3306,44,UR,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,0,圣贤者颈环

3311,45,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,障壁项圈
3312,46,R,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,障壁之颈环
3313,47,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,结界之项圈
3314,48,SR,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,结界之颈环
3315,49,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,神域之项圈
3316,50,UR,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2,0,0,神域之颈环

3399,51,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的项圈

3401,52,R,183,9,183,5,183,1,3000,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,致死无效的项链
3402,53,SR,184,9,184,5,184,1,3000,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,贯穿无效的项链
3403,54,SR,185,9,185,5,185,1,3000,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,缓慢无效的项链
3404,55,UR,186,9,186,5,186,1,3000,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,封印无效的项链
3405,56,C,15,3,15,2,15,1,500,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,探险家项链

3499,57,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的项链

