// <item_id>,<show_order>,<rarity>,<skill_A>,<skill_A_Lv_Bonus>,<skill_B>,<skill_B_Lv_Bonus>,<skill_C>,<skill_C_Lv_Bonus>,<HP_exp>,<Atk_exp>,<Def_exp>,<Matk_exp>,<Mdef_exp>,<Hit_exp>,<Flee_exp>,<Efficacy>,<Count>,<HP_Bonus>,<Atk_Bonus>,<Def_Bonus>,<Matk_Bonus>,<Mdef_Bonus>,<Hit_Bonus>,<Flee_Bonus>,<name>
// <物品ID>,<显示顺序>,<稀有度>,<技能A>,<技能A_Lv加成>,<技能B>,<技能B_Lv加成>,<技能C>,<技能C_Lv加成>,<封缄_HP>,<封缄_Atk>,<封缄_Def>,<封缄_Matk>,<封缄_Mdef>,<封缄_Hit>,<封缄_Flee>,<封缄_效果>,<封缄_回数>,<波动_HP>,<波动_Atk>,<波动_Def>,<波动_Matk>,<波动_Mdef>,<波动_Hit>,<波动_Flee>,<名称>
1051,1,C,0,0,408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,神圣之杖
1052,2,R,422,3,422,2,422,1,0,200,0,500,0,2500,0,0,0,0,0,0,1,0,0,0,雷鸟的羽杖
1053,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,金属短杖
1054,4,C,0,0,427,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,狂舞之杖
1055,5,R,432,4,432,3,432,2,0,400,0,600,0,1500,0,0,0,0,0,0,0,0,0,0,猛兽的骨杖
1056,6,C,0,0,411,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,热情短杖
1057,7,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,秘银短杖
1058,8,SR,408,4,412,4,411,4,0,0,0,1500,0,1500,0,0,0,0,0,0,0,0,0,0,圣女的秘杖
1059,9,R,430,4,430,3,430,2,0,500,0,1000,0,2000,0,0,0,0,0,0,2,0,0,0,特琉妮之泪
1060,10,R,0,0,503,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,南瓜法杖
1061,11,UC,0,0,408,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,結界之杖
1062,12,SR,436,9,436,7,436,5,0,2000,0,2000,0,3000,0,0,0,0,0,0,6,0,0,0,圣王妃的神杖
1063,13,UR,408,9,412,9,411,9,0,6200,0,8000,0,7000,0,0,0,0,0,0,0,0,0,0,神兵之翼杖
1064,14,UC,0,0,424,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,电磁龙牙杖
