// <技能id>,<显示顺序>,<最大等级>,<技能分组ID>,<技能名称>
// <skill_id>,<order>,<max_lv>,<group_id>,<skill_name>

//【移动】
002,002,+9,1,暗视
003,003,+9,1,怪力
004,004,+9,1,古代语
005,005,+1,1,飞行
006,006,+1,1,气流
007,007,+9,1,盗贼
008,008,+9,1,遗物学
009,009,+9,1,土使
010,010,+9,1,水使
011,011,+9,1,炎使
012,012,+9,1,雷使
013,013,+9,1,光使
014,014,+9,1,暗使
015,001,+9,1,采取

//【特殊】
181,040,+9,2,反弹无效
182,036,+9,2,不动如山
183,037,+9,2,杀无效
184,038,+9,2,贯穿无效
185,039,+9,2,延迟无效
186,041,+9,2,封印无效
187,042,+9,2,不命体

201,015,+9,2,独狼
202,016,+9,2,策略
203,017,+9,2,团战
204,019,+9,2,设置陷阱

206,020,+9,2,博弈
207,021,+9,2,病入膏肓
208,022,+9,2,决死
209,027,+1,2,睡眠不足
210,023,+9,2,同仇敌忾
211,024,+9,2,掌中玩物
212,028,+1,2,贪财贪财
213,025,+9,2,性分泌
214,026,+9,2,封缄
215,029,+1,2,鉴定
216,030,+1,2,蹑手蹑脚
217,018,+9,2,巨人兵援助
218,033,+9,2,喜欢杰达鲁
219,034,+9,2,和盖迪的联手
220,035,+9,2,与塔鲁波的联手
221,031,+9,2,反骨

290,032,+9,2,透视

//【指挥】
301,043,+9,3,战斗指挥
302,044,+9,3,百夫长
303,047,+9,3,扰乱

351,045,+9,3,艾丽萨型战斗指挥
352,046,+9,3,神秘防护
353,048,+9,3,结缘
354,049,+9,3,战女神
355,050,+9,3,英雄王

//【攻击】
400,067,+9,4,男人杀手
401,051,+9,4,人类杀手
402,052,+9,4,亚人杀手
403,053,+9,4,鬼族杀手

405,054,+9,4,精灵杀手

407,055,+9,4,天使杀手
408,056,+9,4,恶魔杀手
409,057,+9,4,魔兽杀手
410,058,+9,4,幻兽杀手
411,059,+9,4,不死杀手
412,060,+9,4,灵体杀手
413,061,+9,4,创造破坏
414,063,+9,4,神格杀手
415,064,+9,4,魔神杀手
416,062,+9,4,一般杀手
417,065,+9,4,首领杀手
418,069,+9,4,青月女神之祝福
419,068,+9,4,对空迎击
420,066,+9,4,弑神
421,089,+9,4,属性连锁
422,071,+9,4,击飞
423,074,+9,4,连击
424,072,+9,4,拉近
425,073,+9,4,贯穿
426,078,+9,4,技巧
427,075,+9,4,再行动
428,081,+9,4,影缝
429,080,+9,4,钢丝缚
430,079,+9,4,魅惑
431,082,+9,4,瞄准要害
432,077,+9,4,魔力填充
433,076,+9,4,吸取精气
434,084,+9,4,夺取
435,083,+9,4,隐藏
436,085,+9,4,封印
437,070,+9,4,祸武血统
438,086,+1,4,废天使
439,087,+1,4,暴发
440,088,+1,4,极薄

451,090,+9,4,天使连锁
452,091,+9,4,女神化
453,092,+9,4,再生
454,093,+9,4,威压

456,094,+9,4,得意忘形

//【防御】
501,102,+9,5,间接反弹
502,103,+9,5,反弹
503,097,+9,5,格挡
504,095,+9,5,气息感知

506,098,+9,5,看穿
507,100,+9,5,极致的防御
508,099,+9,5,庇护
509,101,+9,5,近身反弹
510,096,+9,5,浮游

551,104,+9,5,心头灭却
552,105,+9,5,自诩无敌
553,106,+1,5,符咒无效
554,107,+1,5,基本攻击无效
555,108,+1,5,范围攻击无效
556,109,+1,5,必杀无效
557,110,+1,5,魔法无效

//【条件】
101,150,+9,6,杖专精
102,151,+9,6,钉锤专精
103,152,+9,6,剑专精
104,153,+9,6,大剑专精
105,154,+9,6,伞专精
106,155,+9,6,投掷专精
107,156,+9,6,弓专精
108,157,+9,6,钢丝锯专精
109,158,+9,6,鞭专精
110,159,+9,6,傀儡专精
111,160,+9,6,烧水专精
112,161,+9,6,枪兵
113,162,+9,6,镰刀兵
114,163,+9,6,装备铠甲
115,164,+9,6,铁球专精
116,165,+9,6,链接剑专精
117,166,+9,6,手套专精
118,167,+9,6,炮剑专精
119,168,+9,6,魔导枪使
120,169,+9,6,双剑使
121,111,+9,6,祸武族
122,112,+9,6,网缚大师
123,113,+9,6,月女神
124,115,+9,6,青色太阳
125,116,+9,6,吹鬼族
126,117,+9,6,森林猎人
127,118,+9,6,神兵
128,119,+9,6,涅卜鲁族
129,124,+9,6,秘印术
130,126,+9,6,秘印术·地
131,128,+9,6,秘印术·冰
132,130,+9,6,秘印术·火
133,132,+9,6,秘印术·风
135,120,+9,6,歪迷宫
136,125,+9,6,女仆天使
137,131,+9,6,力天使
138,133,+9,6,炎天使
139,134,+9,6,大天使
140,135,+9,6,苍天使
141,123,+9,6,睡魔族
142,114,+9,6,青月光
143,121,+9,6,司令塔
144,122,+9,6,卑鄙的家伙
145,136,+9,6,天缘神
146,137,+9,6,飞燕剑
147,138,+9,6,戒指
148,139,+9,6,隶姬
149,140,+9,6,姬将军
150,141,+9,6,使魔
151,142,+9,6,圣骑士
152,143,+9,6,副官
153,144,+9,6,半魔人
154,145,+9,6,柜台小姐
155,146,+9,6,女仆
156,147,+9,6,歪魔
157,148,+9,6,速之拔斗士
158,149,+9,6,刚之拔斗士
161,127,+9,6,伪证秘印术
162,129,+9,6,共鸣
