// 魔王石列表
// <num>,<addr_idx>,<difficulty>,<pos>,<desc>
// <编号>,<内存地址索引>,<难易度>,<位置>,<描述>

001,000,1,东乌斯特努溪谷,熄灭全部篝火
002,077,1,东乌斯特努溪谷,从 Black Eushully 酱那得到
003,001,1,隶士之笼/下层,抓三只耗子
004,004,2,隶士之笼/中层,开启和破坏所有的门和石头
005,005,1,隶士之笼/上层,在柱子里侧得到
006,002,3,撒饵之谷,讨伐彷徨的雷龙
007,026,1,镇守府迎击广场/斡旋所,调查椅子下得到
008,027,2,古拉塞斯塔西地区/拔斗街,完成11秒内送达的任务得到
009,042,4,古拉塞斯塔西地区/拔斗街,抓猫20次得到
010,044,1,古拉塞斯塔西地区/睡兰街,调查店铺得到
011,028,3,古拉塞斯塔西地区/睡兰街,睡了露奇拉
012,020,1,古拉塞斯塔西地区/英知坂道,从老人那里得到
013,029,1,古拉塞斯塔西地区/蓝鹰骑士团中驻屯地,调查木头得到
014,030,1,蓝鹰骑士团中驻屯地,调查角落得到
015,025,1,古拉塞斯塔西地区/西神殿街,调查木箱得到
016,057,1,反刻之黑堂/上层,从天上掉下来而得到
017,006,3,反刻之黑堂,解除所有结界
018,021,2,神圣领域门,从天上掉下来而得到
019,036,2,古拉塞斯塔东地区/重魔制兵厂/整备区,调查铁巨人得到
020,011,1,古拉塞斯塔东地区/斗技场,在屋顶上得到
021,012,5,古拉塞斯塔东地区/斗技场,个人战中击败茄子
022,013,4,古拉塞斯塔东地区/斗技场,团体战中击败僵尸龙
023,023,1,古拉塞斯塔东地区/广场,调查喷泉得到
024,024,1,古拉塞斯塔东地区/谣姬街,调查屋顶上得到
025,014,1,光覆之塔/1层,调查架子得到
026,015,1,光覆之塔/2层,调查壶得到
027,016,1,光覆之塔/3层,调查莉莉卡的床得到
028,017,1,光覆之塔/4层,调查架子得到
029,018,1,光覆之塔/5层,调查架子得到
030,019,1,光覆之塔/6层,调查花瓶得到
031,045,1,神王殿/1层,调查壶得到
032,046,1,神王殿/2层,调查抽屉得到
033,047,1,神王殿/3层,调查床得到
034,051,1,神王殿,调查王座得到
035,033,1,神王殿,调查王座得到
036,007,1,镇守府隧湖/入口,获得全部物品
037,008,1,镇守府隧湖/管理区,不遭遇地图上徘徊的敌人的情况下到达
038,022,2,镇守府隧湖/管理区,在坏掉的铁巨人处得到
039,009,2,镇守府隧湖/地下1阶,遭遇一次地图上徘徊的敌人击败六只魔物
040,010,1,镇守府隧湖/地下2阶,获得全部物品
041,034,2,无赖水道,调查水里得到
042,035,1,德马鲁塞之门,得到所有物品
043,032,1,祈祷岬,得到所有物品
044,070,1,反刻之炎堂/蒸汽层,区域内得到
045,037,3,扎斐雅宫殿,得到所有物品
046,031,3,愚摄廊,开启所有传送门得到
047,039,2,愚摄廊/螺旋墓地,得到所有物品
048,038,1,暗界灵庙/总门,把所有机关变青后得到
049,041,3,暗界灵庙/尖塔庭园,击败愚摄魔灵雷巴吉
050,040,2,暗界灵庙/祈祷殿,得到所有物品
051,043,1,暗界灵庙/胎堂,第二次前往时得到
