// <union_char_id_1>,<union_char_id_2>,<union_id>

// 阿瓦罗
1,2,0
1,13,2
1,6,1
1,35,27
1,53,31
1,100,300

// 菲亚
2,1,0
2,13,3
2,8,15
2,18,4
2,20,13
2,21,29
2,53,32
2,104,304

// 伊欧露
3,7,21
3,4,5
3,103,303

// 米凯优
4,7,22
4,3,5
4,101,301

// 姬斯尼尔
5,9,7
5,8,6
5,6,23
5,102,302

// 迪特赫鲁姆
6,1,1
6,5,23
6,18,24
6,105,305

// 罗兹利奴
7,14,20
7,10,8
7,53,33
7,3,21
7,4,22
7,105,305

// 莉秀恩兹利
8,2,15
8,5,6
8,10,25
8,100,300

// 米克修亚娜
9,13,17
9,5,7
9,18,26
9,102,302

// 卡特利特
10,13,18
10,7,8
10,8,25
10,103,303

// 库娜
13,1,2
13,2,3
13,14,16
13,9,17
13,10,18
13,15,19
13,35,28
13,20,14
13,104,304

// 安贝尔
14,13,16
14,7,20
14,15,9
14,21,30
14,101,301

// 莉鹭
15,13,19
15,14,9
15,16,10
15,17,11
15,102,302

// 煌燐結騎
16,17,12
16,15,10
16,104,304

// 冥燐結騎
17,16,12
17,15,11
17,105,305

// 露琪
18,2,4
18,9,26
18,6,24
18,103,303

// Anastasla
20,2,13
20,13,14
20,104,304

// 米库莉
21,2,29
21,14,30
21,103,303

// 维涅亚
35,1,27
35,13,28
35,105,305

// 岚燐結騎
53,1,31
53,2,32
53,7,33
53,103,303

// 火焰鸟人
81,102,302

// 苍魔天狗
82,103,303

// 玛尼塔里亚姆
83,100,300

// 赫露玛奇巴斯
84,105,305

// 弗布拉
85,101,301

// 艾露美娜
86,101,301

// 堤巴
87,104,304

// 巴娜
88,100,300

// 安·普罗亚
89,105,305

// 彷徨的亡幽鬼
90,105,305
